A CELSO;NOVA IGUACU;58;AFONSO CELSO
A PORTO;SAO JOAO DE MERITI;1034;AGOSTINHO PORTO
A SANTA;RIO DE JANEIRO;392;AGUA SANTA
A PRATA;ITABORAI;24;ALDEIA DA PRATA
AT B VISTA;RIO DE JANEIRO;717;ALTO DA BOA VISTA
A BOA VISTA;RIO DE JANEIRO;1;ALTO DA BOA VISTA
A  B VISTA;RIO DE JANEIRO;1;ALTO DA BOA VISTA
A BOAVISTA;RIO DE JANEIRO;1;ALTO DA BOA VISTA
AT BOA VISTA;RIO DE JANEIRO;1;ALTO DA BOA VISTA
AT SERRA;PETROPOLIS;155;ALTO DA SERRA
A PEQUENO;SAO GONCALO;96;ANAIA PEQUENO
A ARAUJO;BELFORD ROXO;239;ANDRADE ARAUJO
A BOM;BARRA MANSA;24;ANO BOM
APOLO II;ITABORAI;96;APOLO II
APOLO III;ITABORAI;304;APOLO III
A COSMOS;RIO DE JANEIRO;5;ARAUJO DE COSMOS
A BRANCA;BELFORD ROXO;584;AREIA BRANCA
JARDIM I BRANCA;BELFORD ROXO;82;AREIA BRANCA
B GUANABARA;RIO DE JANEIRO;5;BAIA DE GUANABARA
B GUANDU;NOVA IGUACU;72;BAIXO GUANDU
B AREIA;MESQUITA;265;BANCO DE AREIA
BC AREIA;MESQUITA;23;BANCO DE AREIA
B DE AREIA;MESQUITA;20;BANCO DE AREIA
B TIJUCA;RIO DE JANEIRO;2884;BARRA DA TIJUCA
B DA TIJUCA;RIO DE JANEIRO;2;BARRA DA TIJUCA
B GUARATIBA;RIO DE JANEIRO;246;BARRA DE GUARATIBA
B S JOAO;CASIMIRO DE ABREU;39;BARRA DE SAO JOAO
B NOVA;SAQUAREMA;23;BARRA NOVA
B BRANCO;DUQUE DE CAXIAS;186;BARRO BRANCO
B VERMELHO;SAO GONCALO;1666;BARRO VERMELHO
B FILHO;RIO DE JANEIRO;2355;BARROS FILHO
B FILHOS;RIO DE JANEIRO;30;BARROS FILHO
B  FILHO;RIO DE JANEIRO;2;BARROS FILHO
CIDADE BEIRA MAR;RIO DAS OSTRAS;3;BEIRA MAR
B ROXO;BELFORD ROXO;92;BELFORD ROXO
B RIBEIRO;RIO DE JANEIRO;1603;BENTO RIBEIRO
B KELNER;NOVA IGUACU;29;BERNARDO KELNER
B ESPERANCA;BELFORD ROXO;658;BOA ESPERANCA
B SORTE;BELFORD ROXO;60;BOA SORTE
B VIAGEM;NITEROI;24;BOA VIAGEM
B VISTA;SAO GONCALO;661;BOA VISTA
B JESUS;NOVA IGUACU;45;BOM JESUS
B PASTOR;BELFORD ROXO;87;BOM PASTOR
B RIO;RIO DAS OSTRAS;17;BOSQUE BEIRA RIO
B BEIRA RIO;RIO DAS OSTRAS;1;BOSQUE BEIRA RIO
B PINA;RIO DE JANEIRO;2547;BRAS DE PINA
B DE PINA;RIO DE JANEIRO;5;BRAS DE PINA
B PINAS;RIO DE JANEIRO;2;BRAS DE PINA
B MAR;ITAGUAI;246;BRISA MAR
C GRANDE;ANGRA DOS REIS;151;C GRANDE
C ELISEOS;DUQUE DE CAXIAS;600;CAMPO ELISEOS
CP GRANDE;RIO DE JANEIRO;3;CAMPO GRANDE
C ELISIOS;DUQUE DE CAXIAS;68;CAMPOS ELISIOS
CATUMBI - 1Aª AISP;RIO DE JANEIRO;726;CATUMBI
CATUMBI - 1? AISP;RIO DE JANEIRO;260;CATUMBI
CEM BRACAS;ARMACAO DE BUZIOS;21;CEM BRACAS
CHS ARCAMPO;DUQUE DE CAXIAS;238;CHACARAS ARCAMPO
CHS M HELENA;DUQUE DE CAXIAS;21;CHACARAS MARIA HELENA
CHS RIO-PETROPOLIS;DUQUE DE CAXIAS;801;CHACARAS RIO-PETROPOLIS
C ALTA;RIO DE JANEIRO;9;CIDADE ALTA
C DEUS;RIO DE JANEIRO;5305;CIDADE DE DEUS
C DE DEUS;RIO DE JANEIRO;13;CIDADE DE DEUS
C  DEUS;RIO DE JANEIRO;3;CIDADE DE DEUS
CD DEUS;RIO DE JANEIRO;3;CIDADE DE DEUS
CDD DE DEUS;RIO DE JANEIRO;3;CIDADE DE DEUS
CD DE DEUS;RIO DE JANEIRO;2;CIDADE DE DEUS
C D DEUS;RIO DE JANEIRO;2;CIDADE DE DEUS
C DEUS, DE;RIO DE JANEIRO;1;CIDADE DE DEUS
C JD CABUCU;QUEIMADOS;143;CIDADE JARDIM CABUCU
C JD MARAJOARA;JAPERI;102;CIDADE JARDIM MARAJOARA
C NOVA;RIO DE JANEIRO;1054;CIDADE NOVA
C PRAIANA;RIO DAS OSTRAS;26;CIDADE PRAIANA
C S BONFIM;JAPERI;58;CIDADE SENHOR DO BONFIM
C UNIVERSITARIA;RIO DE JANEIRO;2;CIDADE UNIVERSITARIA
C ROCHA;SAO JOAO DE MERITI;1475;COELHO DA ROCHA
C NETO;RIO DE JANEIRO;2354;COELHO NETO
C. NETO;RIO DE JANEIRO;1;COELHO NETO
C SOARES;NOVA IGUACU;237;COMENDADOR SOARES
C ALEMAO;RIO DE JANEIRO;2;COMPLEXO DO ALEMAO
C JACAREI;MANGARATIBA;26;CONCEICAO DE JACAREI
CJ RES REDENCAO;NOVA IGUACU;35;CONJUNTO RESIDENCIAL REDENCAO
C VELHO;RIO DE JANEIRO;512;COSME VELHO
C AZUL;RIO DAS OSTRAS;10;COSTA AZUL
CST AZUL;RIO DAS OSTRAS;2;COSTA AZUL
C BARROS;RIO DE JANEIRO;4940;COSTA BARROS
C  BARROS;RIO DE JANEIRO;2;COSTA BARROS
C. BARROS;RIO DE JANEIRO;2;COSTA BARROS
C BARRO;RIO DE JANEIRO;1;COSTA BARROS
C SUL;NOVA IGUACU;22;CRUZEIRO DO SUL
DE LA MARES;RIO DE JANEIRO;1;DE LA MARES
D CASTILHO;RIO DE JANEIRO;1376;DEL CASTILHO
