bairro;mun;qt_den 
SANTA MONICA;GUARAPARI;1;
CENTRO;GUARAPARI;1;
IPIRANGA;GUARAPARI;1;
OLARIA;GUARAPARI;1;
AREIA PRETA;GUARAPARI;2;
BUGIO;ARACAJU;1;
FAROLANDIA;ARACAJU;1;
ESTANCIA;ARACAJU;2;
CACHOEIRO;CARDOSO MOREIRA;1;
PAO DE LO;CARDOSO MOREIRA;1;
CENTRO;PONTO DOS VOLANTES;1;
CENTRO;PALMAS;1;
OFICINA;TUBARAO;2;
VICENTE DE CARVALHO;GUARUJA;3;
SAO MARTINHO;QUISSAMA;1;
MATIAS;QUISSAMA;1;
QUISSAMA;QUISSAMA;1;
SITIO QUISSAMA;QUISSAMA;3;
CENTRO;QUISSAMA;5;
PRAIA;QUISSAMA;1;
BARRA DO FURADO;QUISSAMA;2;
MACHADINHA;QUISSAMA;1;
CAXIAS;QUISSAMA;6;
PENHA;QUISSAMA;1;
RIBEIRA;QUISSAMA;1;
TAMARINDO;SOBRAL;1;
ALTO DO ESCOLATICOS;MIRAI;1;
CENTRO;MIRAI;1;
DOM  BOSCO;DUQUE DE CAXIAS;1;
NOVA CAMPINAS;DUQUE DE CAXIAS;1528;
VALE DAS PEDRINHAS;DUQUE DE CAXIAS;1;
CAMPOS ELISIUS;DUQUE DE CAXIAS;12;
CDOR SOARES;DUQUE DE CAXIAS;2;
CARAMUJO;DUQUE DE CAXIAS;1;
CHACARA DO ARCANCO;DUQUE DE CAXIAS;1;
PIABETA;DUQUE DE CAXIAS;9;
SACACURUNA;DUQUE DE CAXIAS;1;
SANTA CRUZ SERRA;DUQUE DE CAXIAS;98;
VILA SAO LUIS;DUQUE DE CAXIAS;712;
AREAL;DUQUE DE CAXIAS;2;
CANCULO;DUQUE DE CAXIAS;1;
PARQUE URUGUAIANA;DUQUE DE CAXIAS;146;
SACURUNA;DUQUE DE CAXIAS;1;
PQR;DUQUE DE CAXIAS;1;
POSSE;DUQUE DE CAXIAS;1;
RAIZ DA SERRA;DUQUE DE CAXIAS;2;
VILA SANTO ANTONIO;DUQUE DE CAXIAS;647;
CANGOLO;DUQUE DE CAXIAS;1;
PRESIDENTE KENNEDY;DUQUE DE CAXIAS;1;
MAUA;DUQUE DE CAXIAS;1;
PIAN;DUQUE DE CAXIAS;1;
MILENAR;DUQUE DE CAXIAS;1;
VILA SANTA CRUZ;DUQUE DE CAXIAS;1068;
SARAPUI;DUQUE DE CAXIAS;70;
ONCAS;DUQUE DE CAXIAS;1;
JARDIM VILA NOVA;DUQUE DE CAXIAS;49;
VILA MADALENA;DUQUE DE CAXIAS;9;
GRACAS;DUQUE DE CAXIAS;18;
VILA OPERARIA;DUQUE DE CAXIAS;647;
BARREIRO;DUQUE DE CAXIAS;1;
CENTERNARIO;DUQUE DE CAXIAS;1;
BAIRRO PROJETADO;DUQUE DE CAXIAS;1;
GRAMACHO;DUQUE DE CAXIAS;325;
INBARIE;DUQUE DE CAXIAS;1;
VILA OITO DE MAIO;DUQUE DE CAXIAS;106;
PARQUE PAULISTA;DUQUE DE CAXIAS;1054;
COREIA;DUQUE DE CAXIAS;2;
HUMAITA;DUQUE DE CAXIAS;1;
VILA SAPE;DUQUE DE CAXIAS;313;
WONA;DUQUE DE CAXIAS;1;
CANGULI;DUQUE DE CAXIAS;1;
PARQUE JOAO PESSOA;DUQUE DE CAXIAS;477;
CANGULO;DUQUE DE CAXIAS;163;
CAMPOS HELISIO;DUQUE DE CAXIAS;1;
CONGULO;DUQUE DE CAXIAS;2;
SANTA ALICE;DUQUE DE CAXIAS;1;
VILA EMA;DUQUE DE CAXIAS;258;
SENHOR DO BOMFIM;DUQUE DE CAXIAS;1;
CANGULo;DUQUE DE CAXIAS;1;
MORABI;DUQUE DE CAXIAS;7;
MALHAPAO;DUQUE DE CAXIAS;1;
IMBARIE TRES;DUQUE DE CAXIAS;864;
PANTANAL;DUQUE DE CAXIAS;69;
JARDIM PRIMAVERA;DUQUE DE CAXIAS;985;
IMBAIRE;DUQUE DE CAXIAS;1;
JARDIM IANGA;DUQUE DE CAXIAS;9;
BARRO BRANCO;DUQUE DE CAXIAS;188;
TABOA;DUQUE DE CAXIAS;1;
EMBARIE;DUQUE DE CAXIAS;16;
SILVA;DUQUE DE CAXIAS;8;
JARDIM SUMARE;DUQUE DE CAXIAS;3;
PARQUE LAFAIETE;DUQUE DE CAXIAS;717;
PIRIQUITO;DUQUE DE CAXIAS;3;
VILA SAO SEBASTIAO;DUQUE DE CAXIAS;65;
PAULICEIA;DUQUE DE CAXIAS;123;
BNH;DUQUE DE CAXIAS;1;
PRAINHA;DUQUE DE CAXIAS;20;
CAMPOS ELIZIUS;DUQUE DE CAXIAS;1;
VILA MARIA HELENA;DUQUE DE CAXIAS;147;
CAROLINA;DUQUE DE CAXIAS;370;
VILA NOVA;DUQUE DE CAXIAS;25;
OLAVO BILAC;DUQUE DE CAXIAS;45;
MANGUEIRINHA;DUQUE DE CAXIAS;11;
NOSSA SENHORA DO CARMO;DUQUE DE CAXIAS;39;
SARACURUMA;DUQUE DE CAXIAS;1;
AVIARIO;DUQUE DE CAXIAS;1;
MARILANDIA;DUQUE DE CAXIAS;3;
ITACOATIARA;DUQUE DE CAXIAS;2;
GETULIO CABRAL;DUQUE DE CAXIAS;13;
JUREMA;DUQUE DE CAXIAS;13;
DIVINO;DUQUE DE CAXIAS;42;
CORTE OITO;DUQUE DE CAXIAS;70;
CHACARAS RIO-PETROPOLIS;DUQUE DE CAXIAS;807;
CAMPOS ELISIOS;DUQUE DE CAXIAS;68;
VALE DA MANGUEIRA;DUQUE DE CAXIAS;2;
PARQUE VILA NOVA;DUQUE DE CAXIAS;137;
ITATIAIA;DUQUE DE CAXIAS;35;
SANTA CRUZ DA SERRA;DUQUE DE CAXIAS;522;
SANTA LUZIA;DUQUE DE CAXIAS;3;
FIQUEIRA;DUQUE DE CAXIAS;1;
CIRCULAR;DUQUE DE CAXIAS;55;
RASTA;DUQUE DE CAXIAS;1;
TOMAZINHO;DUQUE DE CAXIAS;1;
CAMPOS ELIZEOS;DUQUE DE CAXIAS;2;
BARRO VERMELHO;DUQUE DE CAXIAS;7;
OLAVO BILACK;DUQUE DE CAXIAS;3;
JARDIM BARRO BRANCO;DUQUE DE CAXIAS;409;
IBARIE;DUQUE DE CAXIAS;2;
JACATIRAO;DUQUE DE CAXIAS;7;
PARADA MORABI DOIS;DUQUE DE CAXIAS;36;
JAQUEIRA;DUQUE DE CAXIAS;4;
PILARES;DUQUE DE CAXIAS;1;
CODORA;DUQUE DE CAXIAS;1;
VILA BELA VISTA;DUQUE DE CAXIAS;31;
SARACURUANA;DUQUE DE CAXIAS;1;
PARQUE CHUNO;DUQUE DE CAXIAS;541;
ENGENHO DO PORTO;DUQUE DE CAXIAS;202;
